name,twitter,title,href
Nathan Hultman,natehultman,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/nathan-hultman/
George Ingram,GMIngramIV,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/george-ingram/
David Istance,,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/david-istance/
Jerreed Ivanich,jdivanich,Nonresident Senior Fellow - Governance Studies,https://www.brookings.edu/experts/jerreed-ivanich/
J. Mark Iwry,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/j-mark-iwry/
Maysa Jalbout,MaysaJalbout,"Nonresident Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/maysa-jalbout/
Seema Jayachandran,seema_econ,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/seema-jayachandran/
Bonnie Jenkins,Jenkinsbd,Nonresident Senior Fellow - Foreign Policy,https://www.brookings.edu/experts/bonnie-jenkins/
David C. John,dcjretiresecure,Deputy Director - Retirement Security Project;Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/david-c-john/
Ben Jones,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/ben-jones/
Bruce Jones,BruceBrookings,"Director - Project on International Order and Strategy;Senior Fellow - Foreign Policy, Center for East Asia Policy Studies, Project on International Order and Strategy",https://www.brookings.edu/experts/bruce-jones/
Richard Joseph,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/richard-joseph/
"E.J. Dionne, Jr.",EJDionne,W. Averell Harriman Chair and Senior Fellow - Governance Studies,https://www.brookings.edu/experts/e-j-dionne/
Robert P. Beschel Jr.,,Nonresident Senior Fellow - Brookings Doha Center,https://www.brookings.edu/experts/robert-p-beschel-jr/
Nader Kabbani,,Director of Research - Brookings Doha Center;Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/nader-kabbani/
Robert Kagan,,"Stephen & Barbara Friedman Senior Fellow - Foreign Policy, Project on International Order and Strategy",https://www.brookings.edu/experts/robert-kagan/
Marvin Kalb,MarvinKalb,Nonresident Senior Fellow - Foreign Policy,https://www.brookings.edu/experts/marvin-kalb/
Elaine Kamarck,EKamarck,Founding Director - Center for Effective Public Management;Senior Fellow - Governance Studies,https://www.brookings.edu/experts/elaine-kamarck/
Joseph W. Kane,jwkane1,Senior Research Associate and Associate Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/joseph-kane/
Mara Karlin,Twitter,Leave of Absence,https://www.brookings.edu/experts/mara-karlin/
Daniel Kaufmann,kaufpost,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/daniel-kaufmann/
Turan Kayaoglu,,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/turan-kayaoglu/
Richard Kazis,KazisRichard,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/richard-kazis/
Melissa S. Kearney,kearney_melissa,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/melissa-s-kearney/
Cameron F. Kerry,Cam_Kerry,"Ann R. and Andrew H. Tisch Distinguished Visiting Fellow - Governance Studies, Center for Technology Innovation",https://www.brookings.edu/experts/cameron-f-kerry/
Amit Khandelwal,akhandelwal8,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/amit-khandelwal/
Homi Kharas,,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/homi-kharas/
Molly Kinder,MollyKinder,David M. Rubenstein Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/molly-kinder/
Elizabeth M. King,,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/elizabeth-king/
James Kirchick,jkirchick,"Visiting Fellow - Foreign Policy, Center on the United States and Europe, Project on International Order and Strategy",https://www.brookings.edu/experts/james-kirchick/
Kemal Kirişci,kemalkirisci,"Nonresident Senior Fellow - Foreign Policy, Center on the United States and Europe, The Turkey Project",https://www.brookings.edu/experts/kemal-kirisci/
Aaron Klein,AaronDKlein,Fellow - Economic Studies;Policy Director - Center on Regulation and Markets,https://www.brookings.edu/experts/aaron-klein/
Elizabeth Kneebone,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/elizabeth-kneebone/
Donald Kohn,,Robert V. Roosa Chair in International Economics;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/donald-kohn/
M. Ayhan Kose,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/ayhan-kose/
Sarah Kreps,sekreps,"Nonresident Senior Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, Artificial Intelligence and Emerging Technology Initiative",https://www.brookings.edu/experts/sarah-kreps/
Ananth Krishnan,ananthkrishnan,Visiting Fellow - Brookings India,https://www.brookings.edu/experts/ananth-krishnan/
Arthur R. Kroeber,,Nonresident Senior Fellow - Brookings-Tsinghua Center,https://www.brookings.edu/experts/arthur-r-kroeber/
Christina Kwauk,CKwauk,"Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/christina-kwauk/
Robert E. Lang,,Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/robert-e-lang/
Addisu Lashitew,AddisuLashitew,David M. Rubenstein Fellow - Global Economy and Development,https://www.brookings.edu/experts/addisu-lashitew/
Jennifer L. Lawless,jenlawlessUVA,Nonresident Senior Fellow - Governance Studies,https://www.brookings.edu/experts/jennifer-l-lawless/
Ju-Ho Lee,,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/ju-ho-lee/
Nicol Turner Lee,drturnerlee,Senior Fellow - Governance Studies;Director - Center for Technology Innovation,https://www.brookings.edu/experts/nicol-turner-lee/
Blair Levin,BlairLevin,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/blair-levin/
Jason Levitis,jasonlevitis,"Nonresident Fellow - Economic Studies, USC-Brookings Schaeffer Initiative for Health Policy",https://www.brookings.edu/experts/jason-levitis/
Santiago Levy,,"Nonresident Senior Fellow - Global Economy and Development, Brookings Economic and Social Policy in Latin America Initiative",https://www.brookings.edu/experts/santiago-levy/
Shoshana Lew,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/shoshana-lew/
Pamela D. Lewis,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/pamela-d-lewis/
