name,title,type,href
Constance Torian,"Associate Director, Outreach and Special Events",Executive Office,https://www.americanprogress.org/person/torian-constance/
Hailey Becker,Executive Policy Associate,External Affairs,https://www.americanprogress.org/person/becker-hailey/
Lanre Faderin,Executive Assistant and Scheduler to the President,External Affairs,https://www.americanprogress.org/person/faderin-lanre/
Ben Hatt,Speechwriter,External Affairs,https://www.americanprogress.org/person/hatt-ben/
Maddie Lubeck,Executive Assistant,External Affairs,https://www.americanprogress.org/person/lubeck-maddie/
Jenna Sjogren,Special Assistant,External Affairs,https://www.americanprogress.org/person/sjogren-jenna/
Morgan Spivey,Executive Assistant,External Affairs,https://www.americanprogress.org/person/spivey-morgan/
Zina Barrow,External Affairs Associate,Finance,https://www.americanprogress.org/person/barrow-zina/
Enrique Fernández-Toledo,In Memoriam,Finance,https://www.americanprogress.org/person/fernandez-toledo-enrique/
Deborah Alston,Accounts Payable Manager,Generation Progress,https://www.americanprogress.org/person/alston-deborah/
Gracie Bee,Senior Accountant,Generation Progress,https://www.americanprogress.org/person/bee-gracie/
Elisa Collins,"Director, Budget Planning and Forecasting",Generation Progress,https://www.americanprogress.org/person/collins-elisa/
Kathy Emerick,Assistant Controller    ,Generation Progress,https://www.americanprogress.org/person/emerick-kathy/
Mildred Hardin,Budget Analyst,Generation Progress,https://www.americanprogress.org/person/hardin-mildred/
Jose Solis,Budget Analyst,Generation Progress,https://www.americanprogress.org/person/solis-jose/
Adam Stromme,Administrative Coordinator,Generation Progress,https://www.americanprogress.org/person/stromme-adam/
Ella Azoulay,Program Coordinator,Government Affairs,https://www.americanprogress.org/person/azoulay-ella/
Hassen Bashir,Advocacy Associate,Government Affairs,https://www.americanprogress.org/person/bashir-hassen/
Charlotte Hancock,"Director, Communications and Digital Strategy",Government Affairs,https://www.americanprogress.org/person/hancock-charlotte/
Emily Leach,Senior Press Associate,Government Affairs,https://www.americanprogress.org/person/leach-emily/
Lotanna Obodozie,Advocacy Associate,Government Affairs,https://www.americanprogress.org/person/obodozie-lotanna/
Edwith Theogene,Director of Advocacy,Government Affairs,https://www.americanprogress.org/person/theogene-edwith/
Shayna Cherry,"Director, State and Local Government Affairs",Gun Violence Prevention,https://www.americanprogress.org/person/cherry-shayna/
Ryan Collins,"Director, Government Affairs",Gun Violence Prevention,https://www.americanprogress.org/person/collins-ryan/
Lola Oduyeru,"Manager, State and Local Government Affairs",Gun Violence Prevention,https://www.americanprogress.org/person/oduyeru-lola/
Lia Parada,"Director, Government Affairs",Gun Violence Prevention,https://www.americanprogress.org/person/parada-lia/
Jerry Parshall,"Interim Director, State and Local Government Affairs",Gun Violence Prevention,https://www.americanprogress.org/person/parshall-jerry/
Brent Woolfork,"Director, Government Affairs",Gun Violence Prevention,https://www.americanprogress.org/person/woolfork-brent/
Rukmani Bhatia,Senior Policy Analyst,Health,https://www.americanprogress.org/person/bhatia-rukmani/
Allison Jordan,Special Assistant,Health,https://www.americanprogress.org/person/jordan-allison/
Eugenio Weigend Vargas,Associate Director,Health,https://www.americanprogress.org/person/weigend-vargas-eugenio/
Maura Calsyn,"Managing Director, Health Policy",Human Resources,https://www.americanprogress.org/person/calsyn-maura/
Emily Gee,Health Economist,Human Resources,https://www.americanprogress.org/person/gee-emily/
Nicole Rapfogel,Research Assistant,Human Resources,https://www.americanprogress.org/person/rapfogel-nicole/
